date,high,low,open,close,volume,quoteVolume,weightedAverage
1677355200000,23184.26,22761.01,22976.85,23156.40,19.932249,458416.83,22999.27
1677369600000,23247.84,23069.07,23161.37,23214.59,13.188159,305289.64,23148.89
1677384000000,23227.83,23094.65,23214.62,23148.35,18.184391,421316.09,23169.13
1677398400000,23287.30,23113.26,23150.40,23250.83,17.103239,396973.26,23210.47
1677412800000,23318.09,23134.88,23250.84,23243.90,15.269158,354527.91,23218.61
1677427200000,23543.42,23141.08,23244.13,23523.84,20.017095,466954.97,23328.53
1677441600000,23667.29,23330.00,23504.90,23560.63,31.771279,747887.69,23539.89
1677456000000,23638.66,23423.77,23554.44,23556.38,14.10017,332020.43,23547.37
1677470400000,23560.38,23351.01,23552.67,23423.83,27.231951,638201.79,23435.84
1677484800000,23451.74,23338.33,23420.41,23422.62,18.862787,441245.2,23392.38
1677499200000,23883.42,23369.71,23432.44,23544.14,28.397624,671308.14,23640.58
1677513600000,23612.64,23158.38,23555.71,23278.92,30.946109,721893.81,23327.86
1677528000000,23567.55,23128.52,23268.01,23492.07,21.53023,503276.71,23375.78
1677542400000,23544.34,23352.45,23494.36,23461.61,8.846865,207419.66,23445.6
1677556800000,23469.60,23226.10,23464.34,23229.01,23.690141,553533.37,23365.73
1677571200000,23420.53,23205.21,23222.65,23393.37,18.649332,434689.76,23308.7
1677585600000,23569.68,23304.03,23394.42,23522.75,26.228797,614996.43,23447.44
1677600000000,23593.50,23223.31,23518.68,23257.66,22.983757,537996.03,23408.16
1677614400000,23333.82,23029.43,23257.65,23136.03,23.391875,542352.33,23185.67
1677628800000,23486.01,23030.84,23140.56,23442.42,20.622175,479897.95,23271.49
1677643200000,23836.52,23426.16,23443.00,23717.66,22.466992,531873.34,23674.03
1677657600000,23985.05,23682.00,23711.58,23736.47,19.319788,459362.59,23776.94
1677672000000,23883.25,23576.53,23733.72,23713.95,25.321262,600209.48,23703.85
1677686400000,23743.26,23338.26,23706.82,23358.35,18.692931,441543.43,23621.39
1677700800000,23669.80,23319.82,23350.77,23631.74,22.049216,518316.59,23507.58
1677715200000,23792.17,23424.97,23631.73,23497.88,16.681403,392814.97,23548.34
1677729600000,23554.70,23334.61,23491.53,23392.79,16.680297,391341.24,23461.39
1677744000000,23469.18,23345.03,23389.63,23413.82,17.680456,413945.8,23412.65
1677758400000,23432.19,23207.01,23414.09,23365.22,20.151235,470065.76,23326.99
1677772800000,23497.29,23233.38,23365.27,23464.02,16.479762,384905.77,23356.54
1677787200000,23552.71,23382.65,23459.35,23466.53,12.188088,286005.9,23466.05
1677801600000,23474.48,22050.00,23468.93,22329.26,58.734846,1322506.8,22523.89
1677816000000,22412.83,22262.92,22321.58,22377.44,14.720237,329153.46,22360.64
1677830400000,22465.00,22325.00,22372.13,22346.05,25.375578,567897.67,22379.71
1677844800000,22485.79,22206.00,22344.53,22338.78,58.292422,1304017.25,22370.3
1677859200000,22435.05,22300.01,22336.97,22353.26,65.565552,1465769.19,22355.79
1677873600000,22397.26,22150.02,22351.44,22352.00,57.642067,1284491.45,22284.06
1677888000000,22403.68,22328.97,22350.39,22348.78,41.516299,928619.42,22367.6
1677902400000,22406.47,22275.00,22347.35,22359.86,22.122845,494460.69,22350.69
1677916800000,22378.08,22321.71,22357.81,22354.53,22.246517,497162.44,22347.88
1677931200000,22397.49,22303.38,22354.04,22313.30,50.793204,1135831.82,22361.88
1677945600000,22343.55,22231.57,22311.34,22243.63,15.459791,344882.07,22308.34
1677960000000,22390.88,22184.44,22246.06,22358.65,84.663588,1889008.85,22312.12
1677974400000,22649.97,22224.00,22360.99,22391.07,19.337118,434635.79,22477.46
1677988800000,22484.11,22368.02,22392.42,22374.55,12.037079,269916.7,22423.8
1678003200000,22469.50,22320.46,22373.60,22398.44,10.702741,239608.09,22387.57
1678017600000,22484.85,22391.28,22391.68,22443.46,14.490649,325096.21,22434.91
1678032000000,22456.46,22373.70,22443.45,22397.99,14.029736,314708.62,22431.55
1678046400000,22536.32,22328.35,22398.00,22423.38,12.709846,285012.84,22424.61
1678060800000,22499.04,22300.00,22423.38,22386.85,11.418839,255819.03,22403.3
1678075200000,22430.89,22314.65,22384.53,22375.61,12.41777,277912.83,22380.27
1678089600000,22452.44,22343.72,22379.83,22372.06,26.485469,593066.93,22392.16
1678104000000,22592.14,22330.80,22372.06,22556.47,18.578983,416648.7,22425.95
1678118400000,22584.80,22354.27,22552.14,22394.79,18.607002,418391.1,22485.78
1678132800000,22442.81,22324.32,22393.25,22405.32,16.4032,367395.82,22397.84
1678147200000,22559.55,22379.03,22401.36,22455.49,14.239577,319798.57,22458.48
1678161600000,22478.83,22416.54,22459.05,22417.50,18.139485,407225.39,22449.67
1678176000000,22428.88,22333.29,22417.09,22339.00,25.655134,574393.98,22389.05
1678190400000,22467.66,21950.00,22339.11,22325.34,54.736873,1216520.46,22225.98
1678204800000,22395.32,22090.31,22321.28,22133.40,29.861992,664927.59,22266.81
1678219200000,22221.17,21952.94,22129.90,22199.64,26.517936,585428.72,22076.8
1678233600000,22274.96,22088.73,22199.11,22153.31,25.351797,562654.63,22193.92
1678248000000,22166.39,21850.35,22152.11,21972.31,22.571538,497555.78,22043.75
1678262400000,22132.29,21944.93,21968.98,22085.76,38.714506,852946.01,22031.76
1678276800000,22207.24,21926.43,22085.70,22139.62,120.57429,2657898.23,22043.71
1678291200000,22215.20,21951.43,22139.70,21999.06,17.963522,396149.17,22053.1
1678305600000,22127.12,21600.00,21998.78,21702.16,34.58566,756684.76,21879.98
1678320000000,21802.32,21650.25,21702.17,21767.13,17.357896,377198.47,21730.7
1678334400000,21769.15,21669.15,21769.14,21684.85,7.502173,162986.5,21725.25
1678348800000,21698.58,21550.00,21683.96,21671.08,31.853352,689390.36,21642.65
1678363200000,21839.90,21562.01,21670.35,21649.11,24.299308,526849.11,21681.83
1678377600000,21669.03,20787.95,21647.95,20855.88,50.121621,1064272.17,21237.18
1678392000000,20857.31,20080.00,20855.88,20356.73,65.066411,1327863.95,20409.43
1678406400000,20361.27,19791.00,20358.57,20054.17,41.216218,828638.6,20105.25
